,,,,2025,,,,,,,,
행정구역,,,,총인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60세 이상
서울특별시,성북구,길음제1동(1129066000),,"23,548","23,548",997,"1,787","3,483","3,790","6,872","6,332","7,562"
서울특별시,성북구,길음제2동(1129068500),,"35,465","35,465","2,675","5,162","2,460","2,813","3,709","3,712","7,151"
서울특별시,성북구,종암동(1129070500),,"21,358","21,358","1,795","2,079","5,291","4,556","5,255","6,206","4,790"
서울특별시,성북구,월곡제1동(1129071500),,"36,836","36,836","1,765","3,150","2,585","3,081","3,822","4,216","10,613"
서울특별시,성북구,월곡제2동(1129072500),,"24,707","24,707","1,392","2,284","3,257","2,620","2,254","2,847","7,327"
서울특별시,성북구,장위제1동(1129076000),,"18,361","18,361",664,"1,205","2,721","3,136","3,211","4,030","5,514"
서울특별시,성북구,장위제2동(1129077000),,"22,759","22,759","1,224","1,685","1,943","2,559","2,019","2,590","6,752"
서울특별시,성북구,장위제3동(1129078000),,"15,664","15,664",703,858,"2,179","2,821","3,148","3,042","4,992"
서울특별시,성북구,석관동(1129081000),,"18,618","18,618","1,670","1,505","4,197","4,646","4,207","5,390","4,253"
서울특별시,강북구,-1130500000,,"32,826","32,826","1,437","1,854","34,440","34,361","36,351","48,624","11,095"
서울특별시,강북구,삼양동(1130553400),,"279,210","279,210","9,639","17,863","2,865","2,998","3,269","4,427","97,932"
서울특별시,강북구,미아동(1130553500),,"24,457","24,457","1,047","1,681","3,273","2,709","2,341","3,355","8,170"
서울특별시,강북구,송중동(1130554500),,"20,207","20,207",430,998,"3,395","3,560","3,688","4,718","7,101"
서울특별시,강북구,송천동(1130555500),,"27,442","27,442","1,066","1,715","2,373","2,548","2,638","3,912","9,300"
서울특별시,강북구,삼각산동(1130557500),,"21,850","21,850",560,"1,139","3,142","3,166","5,115","5,666","8,680"
서울특별시,강북구,번1동(1130559500),,"30,019","30,019","1,936","3,603","2,628","2,391","2,151","2,662","7,391"
서울특별시,강북구,번2동(1130560300),,"16,070","16,070",402,739,"1,550","1,569","1,761","2,446","5,097"
서울특별시,강북구,번3동(1130560800),,"14,347","14,347",393,760,"1,453","1,602","1,765","2,708","5,868"
서울특별시,강북구,수유1동(1130561500),,"15,627","15,627",565,"1,005","2,509","2,589","2,432","3,163","6,529"
서울특별시,강북구,수유2동(1130562500),,"19,313","19,313",587,"1,140","2,324","2,262","2,421","3,529","6,893"
서울특별시,강북구,수유3동(1130563500),,"19,958","19,958",680,"1,136","3,780","3,416","2,718","3,839","7,606"
서울특별시,강북구,우이동(1130564500),,"22,441","22,441",436,913,"2,087","2,245","2,456","3,422","7,339"
서울특별시,강북구,인수동(1130566000),,"19,385","19,385",644,"1,233","3,061","3,306","3,596","4,777","7,298"
서울특별시,도봉구,-1132000000,,"28,094","28,094",893,"1,801","33,522","37,316","39,763","52,192","10,660"
